ZIP.x,NUMB,ZIP_END,lng_start,lat_start,lng_end,lat_end,distance_metres,zip_tot_dist,distance_reed_pdx,co2_emission_air_km,portland_native,num,car_fuel_econ,international,pdx_airport,distance_km,co2_emission_car_km,tot_co2_output,everyones_output,city,abb_state,state,ZCTA,Population,Density,Primary Official County Code,Primary Official County Name,County Weights,Official County Name,Official County Code,Imprecise,Military,Timezone,Geo Point
2043,1,97218,-70.88,42.22,-122.59,45.58,4092328.2045815336,4092.33,20.9215,90,no,16,10.93,no,PDX,4092.33,251.03,373561.624145,269186314.7768758,Hingham,MA,Massachusetts,TRUE,23652,411.7,25023,Plymouth,"{""25023"": ""100""}",Plymouth,25023,FALSE,FALSE,America/New_York,"42.21678, -70.88499"
2050,1,97218,-70.7,42.1,-122.59,45.58,4111273.824969991,4111.27,20.9215,90,no,17,10.93,no,PDX,4111.27,251.03,375266.22414500004,269186314.7768758,Marshfield,MA,Massachusetts,TRUE,26222,347.9,25023,Plymouth,"{""25023"": ""100""}",Plymouth,25023,FALSE,FALSE,America/New_York,"42.11488, -70.71475"
2066,1,97218,-70.77,42.21,-122.59,45.58,4101093.4374993793,4101.09,20.9215,90,no,18,10.93,no,PDX,4101.09,251.03,374350.02414500003,269186314.7768758,Scituate,MA,Massachusetts,TRUE,18239,426.9,25023,Plymouth,"{""25023"": ""100""}",Plymouth,25023,FALSE,FALSE,America/New_York,"42.20146, -70.76181"
2067,1,97218,-71.19,42.11,-122.59,45.58,4073718.3874733103,4073.72,20.9215,90,no,19,10.93,no,PDX,4073.72,251.03,371886.724145,269186314.7768758,Sharon,MA,Massachusetts,TRUE,18508,315.1,25021,Norfolk,"{""25021"": ""100""}",Norfolk,25021,FALSE,FALSE,America/New_York,"42.10811, -71.18143"
2130,2,97218,-71.12,42.31,-122.59,45.58,4070206.520688923,8140.41,20.9215,90,no,20,10.93,no,PDX,4070.21,251.03,371570.824145,269186314.7768758,Jamaica Plain,MA,Massachusetts,TRUE,40749,4718.9,25025,Suffolk,"{""25025"": ""100""}",Suffolk,25025,FALSE,FALSE,America/New_York,"42.30986, -71.11486"
2138,1,97218,-71.13,42.38,-122.59,45.58,4066385.6290898114,4066.39,20.9215,90,no,21,10.93,no,PDX,4066.39,251.03,371227.024145,269186314.7768758,Cambridge,MA,Massachusetts,TRUE,38504,5424.3,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.38004, -71.13464"
2140,1,97218,-71.13,42.39,-122.59,45.58,4065948.766961747,4065.95,20.9215,90,no,22,10.93,no,PDX,4065.95,251.03,371187.424145,269186314.7768758,Cambridge,MA,Massachusetts,TRUE,21490,7185.5,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.39329, -71.13329"
2143,1,97218,-71.1,42.38,-122.59,45.58,4068654.470432393,4068.65,20.9215,90,no,23,10.93,no,PDX,4068.65,251.03,371430.424145,269186314.7768758,Somerville,MA,Massachusetts,TRUE,25327,6333.3,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.38145, -71.09684"
2145,1,97218,-71.09,42.39,-122.59,45.58,4068973.654703282,4068.97,20.9215,90,no,24,10.93,no,PDX,4068.97,251.03,371459.224145,269186314.7768758,Somerville,MA,Massachusetts,TRUE,28402,7855.4,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.39203, -71.08951"
2148,1,97218,-71.05,42.43,-122.59,45.58,4070251.4358134773,4070.25,20.9215,90,no,25,10.93,no,PDX,4070.25,251.03,371574.424145,269186314.7768758,Malden,MA,Massachusetts,TRUE,60984,4667,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.43048, -71.0576"
