zip,num,distance_air,state,international,distance_km,mode,distance_car,portland_native,total_emission_air,total_emission_car,ind_emission_gas,ind_emission_electric,state_emission,state_emission_per_cap,SCC_IWG,SCC_state_emission_per_cap,SCC_state_emission
01037,1,3992.45538,MA,no,3986.13,Fly,19.3121,Non-Native,1.58433405335616,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01068,1,4004.3772400000003,MA,no,3998.04,Fly,19.3121,Non-Native,1.58906502890368,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01072,1,3971.56224,MA,no,3965.25,Fly,19.3121,Non-Native,1.57604298682368,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01075,1,3967.9938199999997,MA,no,3961.73,Fly,19.3121,Non-Native,1.57462692357824,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01267,1,3898.79596,MA,no,3892.58,Fly,19.3121,Non-Native,1.54716699839872,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01451,1,4033.55169,MA,no,4027.14,Fly,19.3121,Non-Native,1.60064238424608,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01568,1,4045.9340899999997,MA,no,4039.56,Fly,19.3121,Non-Native,1.60555611680288,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01730,1,4056.2739100000003,MA,no,4049.82,Fly,19.3121,Non-Native,1.6096592882531202,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01748,1,4049.06038,MA,no,4042.67,Fly,19.3121,Non-Native,1.60679672871616,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01772,1,4045.24757,MA,no,4038.85,Fly,19.3121,Non-Native,1.60528368369824,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01776,1,4050.43364,MA,no,4044.01,Fly,19.3121,Non-Native,1.60734168222848,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01801,2,4065.79187,MA,no,4059.33,Fly,19.3121,Non-Native,1.61343631935584,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01810,1,4058.13269,MA,no,4051.65,Fly,19.3121,Non-Native,1.61039691163808,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01845,1,4064.0782599999998,MA,no,4057.58,Fly,19.3121,Non-Native,1.6127563040723198,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
01945,1,4089.1392400000004,MA,no,4082.63,Fly,19.3121,Non-Native,1.6227013028876802,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02043,1,4098.79717,MA,no,4092.33,Fly,19.3121,Non-Native,1.62653387856544,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02050,1,4117.75008,MA,no,4111.27,Fly,19.3121,Non-Native,1.6340549997465599,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02066,1,4107.57473,MA,no,4101.09,Fly,19.3121,Non-Native,1.63001709525536,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02067,1,4080.1355,MA,no,4073.72,Fly,19.3121,Non-Native,1.619128330736,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02130,2,4076.65686,MA,no,4070.21,Fly,19.3121,Non-Native,1.6177478950675201,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02138,1,4072.84314,MA,no,4066.39,Fly,19.3121,Non-Native,1.61623448893248,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02140,1,4072.40747,MA,no,4065.95,Fly,19.3121,Non-Native,1.6160616011350402,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02143,1,4075.1156800000003,MA,no,4068.65,Fly,19.3121,Non-Native,1.6171363055257602,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02145,1,4075.43729,MA,no,4068.97,Fly,19.3121,Non-Native,1.61726393066528,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
02148,1,4076.7247599999996,MA,no,4070.25,Fly,19.3121,Non-Native,1.6177748399603198,0.019392020082803777,4.964004867013283,3.235054908769426,73.46101303191753,1.530437771498282,53,81.11320188940894,3893.433690691629
