,,portland_native,airplane_distance,international,pdx_airport,distance_km
778,778,no,,no,PDX,924.01
779,779,no,,no,PDX,927.81
780,780,no,,no,PDX,922.4
781,781,no,,no,PDX,921.24
782,782,no,,no,PDX,921.92
783,783,no,,no,PDX,915.95
784,784,no,,no,PDX,924.7
785,785,no,,no,PDX,927.17
786,786,no,,no,PDX,907.7
787,787,no,,no,PDX,788.14
788,788,no,,no,PDX,794.85
789,789,no,,no,PDX,799.3
790,790,no,,no,PDX,704.99
791,791,no,,no,PDX,799.68
792,792,no,,no,PDX,821.57
793,793,no,,no,PDX,723.7
794,794,no,,no,PDX,679.31
795,795,no,,no,PDX,785.03
796,796,no,,no,PDX,522.46
797,797,no,,no,PDX,784.04
798,798,no,,no,PDX,780.47
799,799,no,,no,PDX,778.09
800,800,no,,no,PDX,778.31
801,801,no,,no,PDX,794.59
802,802,no,,no,PDX,763
803,803,no,,no,PDX,787.99
804,804,no,,no,PDX,814.36
805,805,no,,no,PDX,775.65
806,806,no,,no,PDX,769.38
807,807,no,,no,PDX,786.71
808,808,no,,no,PDX,789.31
809,809,no,,no,PDX,780.07
810,810,no,,no,PDX,790.76
811,811,no,,no,PDX,774.16
812,812,no,,no,PDX,699.58
813,813,no,,no,PDX,658.59
814,814,no,,no,PDX,736.99
815,815,no,,no,PDX,543.75
816,816,no,,no,PDX,477.02
817,817,no,,no,PDX,661.69
818,818,no,,no,PDX,4148.43
819,819,no,,no,PDX,4174.34
820,820,no,,no,PDX,4245.27
821,821,no,,no,PDX,4148.63
822,822,no,,no,PDX,4150.63
823,823,no,,no,PDX,4144.12
824,824,no,,no,PDX,4125.89
825,825,no,,no,PDX,4118.01
826,826,no,,no,PDX,4160.91
827,827,no,,no,PDX,4185.84
828,828,no,,no,PDX,4190.88
829,829,no,,no,PDX,4182.69
830,830,no,,no,PDX,4179.42
831,831,no,,no,PDX,22.08
832,832,no,,no,PDX,26.85
833,833,no,,no,PDX,19.49
834,834,no,,no,PDX,12.16
835,835,no,,no,PDX,69.37
836,836,yes,,no,PDX,20.19
837,837,yes,,no,PDX,21.47
838,838,no,,no,PDX,64.95
839,839,no,,no,PDX,31.95
840,840,no,,no,PDX,43
841,841,no,,no,PDX,40.2
842,842,no,,no,PDX,108.3
843,843,no,,no,PDX,26.88
844,844,no,,no,PDX,27.27
845,845,no,,no,PDX,33.52
846,846,no,,no,PDX,NA
847,847,no,,no,PDX,17.28
848,848,no,,no,PDX,16.27
849,849,no,,no,PDX,33.18
850,850,no,,no,PDX,47.57
851,851,no,,no,PDX,32.02
852,852,no,,no,PDX,69.79
853,853,no,,no,PDX,44.69
854,854,no,,no,PDX,116.93
855,855,no,,no,PDX,11.02
856,856,no,,no,PDX,11.8
857,857,no,,no,PDX,11.16
858,858,no,,no,PDX,8.96
859,859,no,,no,PDX,11.41
860,860,no,,no,PDX,3.9
861,861,no,,no,PDX,5.92
862,862,no,,no,PDX,4.52
863,863,no,,no,PDX,8.71
864,864,no,,no,PDX,7.83
865,865,no,,no,PDX,8.14
866,866,no,,no,PDX,9.41
867,867,no,,no,PDX,16.82
868,868,no,,no,PDX,3.83
869,869,no,,no,PDX,14.09
870,870,no,,no,PDX,15.76
871,871,no,,no,PDX,21.86
872,872,no,,no,PDX,17.28
873,873,no,,no,PDX,17.47
874,874,no,,no,PDX,7.77
875,875,no,,no,PDX,6.79
876,876,no,,no,PDX,12.76
877,877,no,,no,PDX,12.7
878,878,no,,no,PDX,11.38
879,879,no,,no,PDX,82.84
880,880,no,,no,PDX,75.92
881,881,no,,no,PDX,153.55
882,882,no,,no,PDX,122.53
883,883,no,,no,PDX,107.6
884,884,no,,no,PDX,121.25
885,885,no,,no,PDX,75.7
886,886,no,,no,PDX,81.01
887,887,no,,no,PDX,171.97
888,888,no,,no,PDX,169.1
889,889,no,,no,PDX,191.31
890,890,no,,no,PDX,270.67
891,891,no,,no,PDX,211.78
892,892,no,,no,PDX,146.02
893,893,no,,no,PDX,270.67
894,894,no,,no,PDX,274.65
895,895,no,,no,PDX,171.18
896,896,no,,no,PDX,365.52
897,897,no,,no,PDX,376.33
898,898,no,,no,PDX,348.93
899,899,no,,no,PDX,359.89
900,900,no,,no,PDX,377.69
901,901,no,,no,PDX,203.27
902,902,no,,no,PDX,213.02
903,903,no,,no,PDX,179.71
904,904,no,,no,PDX,228.94
905,905,no,,no,PDX,229.35
906,906,no,,no,PDX,222.97
907,907,no,,no,PDX,228.94
908,908,no,,no,PDX,243.39
909,909,no,,no,PDX,253.34
910,910,no,,no,PDX,248.92
911,911,no,,no,PDX,218.45
912,912,no,,no,PDX,248.26
913,913,no,,no,PDX,229.86
914,914,no,,no,PDX,222.13
915,915,no,,no,PDX,229.44
916,916,no,,no,PDX,222.32
917,917,no,,no,PDX,236.51
918,918,no,,no,PDX,216.87
919,919,no,,no,PDX,202.72
920,920,no,,no,PDX,245.21
921,921,no,,no,PDX,NA
922,922,no,,no,PDX,229.86
923,923,no,,no,PDX,226.87
924,924,no,,no,PDX,244.93
925,925,no,,no,PDX,226.85
926,926,no,,no,PDX,233.44
927,927,no,,no,PDX,232.6
928,928,no,,no,PDX,224.97
929,929,no,,no,PDX,228.17
930,930,no,,no,PDX,234.89
931,931,no,,no,PDX,223.11
932,932,no,,no,PDX,235.43
933,933,no,,no,PDX,220.75
934,934,no,,no,PDX,227.06
935,935,no,,no,PDX,239.25
936,936,no,,no,PDX,241.21
937,937,no,,no,PDX,223.74
938,938,no,,no,PDX,243.62
939,939,no,,no,PDX,208.91
940,940,no,,no,PDX,214.21
941,941,no,,no,PDX,325.05
942,942,no,,no,PDX,351.8
943,943,no,,no,PDX,347.61
944,944,no,,no,PDX,325.37
945,945,no,,no,PDX,264.15
946,946,no,,no,PDX,348.11
947,947,no,,no,PDX,347.68
948,948,no,,no,PDX,260.95
949,949,no,,no,PDX,185.93
950,950,no,,no,PDX,190.37
951,951,no,,no,PDX,269.87
952,952,no,,no,PDX,272.18
953,953,no,,no,PDX,169.83
954,954,no,,no,PDX,181.98
955,955,no,,no,PDX,186.13
956,956,no,,no,PDX,187.12
957,957,no,,no,PDX,190.46
958,958,no,,no,PDX,175.1
959,959,no,,no,PDX,180.38
960,960,no,,no,PDX,175.89
961,961,no,,no,PDX,159.86
962,962,no,,no,PDX,173.68
963,963,no,,no,PDX,195.42
964,964,no,,no,PDX,19.93
965,965,no,,no,PDX,58.51
966,966,no,,no,PDX,35.63
967,967,no,,no,PDX,25.94
968,968,no,,no,PDX,71.09
969,969,no,,no,PDX,7.37
970,970,no,,no,PDX,12.34
971,971,no,,no,PDX,9.51
972,972,no,,no,PDX,14.43
973,973,no,,no,PDX,33.16
974,974,no,,no,PDX,7.79
975,975,no,,no,PDX,343.65
976,976,no,,no,PDX,272.77
977,977,no,,no,PDX,209.94
978,978,no,,no,PDX,457.6
979,979,no,,no,PDX,337.65
980,980,no,,no,PDX,2479.2
981,981,no,,no,PDX,2468.72
982,982,no,,no,PDX,2479.48
983,983,no,,no,PDX,2616.44
984,984,no,,no,PDX,1585.36
985,985,no,,no,PDX,1621.28
986,986,no,ACC,yes,PDX,11977.43
987,987,no,FKS,yes,PDX,7632.733
988,988,no,TNR,yes,PDX,16904.11
989,989,no,ANR,yes,PDX,8120.172
990,990,no,YYC,yes,PDX,881.9492
991,991,no,BCN,yes,PDX,8907.062
992,992,no,BLR,yes,PDX,13171.55
993,993,no,PEK,yes,PDX,8820.832
994,994,no,PEK,yes,PDX,8820.832
995,995,no,FRA,yes,PDX,8389.985
996,996,no,BCN,yes,PDX,8907.062
997,997,no,CAI,yes,PDX,11200.26
998,998,no,IXC,yes,PDX,11315.75
999,999,no,PVG,yes,PDX,9303.916
1000,1000,no,CTU,yes,PDX,10335.75
1001,1001,no,CTU,yes,PDX,10335.75
1002,1002,no,MAA,yes,PDX,13115.92
1003,1003,no,CKG,yes,PDX,10282.69
1004,1004,no,MEX,yes,PDX,3622.313
1005,1005,no,MEX,yes,PDX,3622.313
1006,1006,no,CTU,yes,PDX,10335.75
1007,1007,no,CGO,yes,PDX,9461.593
1008,1008,no,DAC,yes,PDX,11608.38
1009,1009,no,SYD,yes,PDX,12362.25
1010,1010,no,DXB,yes,PDX,12138.98
1011,1011,no,STN,yes,PDX,7882.131
1012,1012,no,ICN,yes,PDX,8492.649
1013,1013,no,DEL,yes,PDX,11535.96
1014,1014,no,HAN,yes,PDX,11128.51
1015,1015,no,WUX,yes,PDX,9356.136
1016,1016,no,HGH,yes,PDX,9465.501
1017,1017,no,BRS,yes,PDX,7796.035
1018,1018,no,SGN,yes,PDX,12050.28
1019,1019,no,HKG,yes,PDX,10559.78
1020,1020,no,HYD,yes,PDX,12718.9
1021,1021,no,LOS,yes,PDX,12127.03
1022,1022,no,IST,yes,PDX,9948.95
1023,1023,no,CGK,yes,PDX,13573.53
1024,1024,no,ICN,yes,PDX,8492.649
1025,1025,no,TNA,yes,PDX,9070.877
1026,1026,no,TNA,yes,PDX,9070.877
1027,1027,no,KHI,yes,PDX,12118.21
1028,1028,no,KTM,yes,PDX,11393.59
1029,1029,no,KTM,yes,PDX,11393.59
1030,1030,no,CCU,yes,PDX,11807.11
1031,1031,no,KMG,yes,PDX,10911.75
1032,1032,no,ITM,yes,PDX,8146.302
1033,1033,no,LHR,yes,PDX,7888.092
1034,1034,no,LGW,yes,PDX,7927.896
1035,1035,no,LHR,yes,PDX,7888.092
1036,1036,no,SZX,yes,PDX,10536.25
1037,1037,no,SWA,yes,PDX,10291.15
1038,1038,no,MAD,yes,PDX,8693.085
1039,1039,no,KTM,yes,PDX,11393.59
1040,1040,no,MNL,yes,PDX,10790.68
1041,1041,no,HKG,yes,PDX,10559.78
1042,1042,no,GDL,yes,PDX,3298.393
1043,1043,no,BOM,yes,PDX,12659.5
1044,1044,no,SVO,yes,PDX,8570.895
1045,1045,no,WIL,yes,PDX,14701.97
1046,1046,no,HAN,yes,PDX,11128.51
1047,1047,no,NKG,yes,PDX,9426.926
1048,1048,no,NNG,yes,PDX,10866.98
1049,1049,no,BOM,yes,PDX,12659.5
1050,1050,no,DAC,yes,PDX,11608.38
1051,1051,no,DEL,yes,PDX,11535.96
1052,1052,no,SYD,yes,PDX,12362.25
1053,1053,no,NGB,yes,PDX,9438.07
1054,1054,no,PNQ,yes,PDX,12691.22
1055,1055,no,BHX,yes,PDX,7747.631
1056,1056,no,GIG,yes,PDX,11019.83
1057,1057,no,WNZ,yes,PDX,9640.943
1058,1058,no,GRU,yes,PDX,10842.36
1059,1059,no,ICN,yes,PDX,8492.649
1060,1060,no,PVG,yes,PDX,9303.916
1061,1061,no,PVG,yes,PDX,9303.916
1062,1062,no,ADD,yes,PDX,9303.916
1063,1063,no,SZX,yes,PDX,10536.25
1064,1064,no,YVR,yes,PDX,403.4229
1065,1065,no,WUX,yes,PDX,9356.136
1066,1066,no,SYD,yes,PDX,12362.25
1067,1067,no,TPE,yes,PDX,9862.602
1068,1068,no,TBS,yes,PDX,10237.31
1069,1069,no,TSN,yes,PDX,8864.747
1070,1070,no,TSN,yes,PDX,8864.747
1071,1071,no,YYZ,yes,PDX,3366.789
1072,1072,no,URC,yes,PDX,9634.038
1073,1073,no,YVR,yes,PDX,403.4229
1074,1074,no,YVR,yes,PDX,403.4229
1075,1075,no,VII,yes,PDX,11369.85
1076,1076,no,WUH,yes,PDX,9778.329
1077,1077,no,WUX,yes,PDX,9356.136
1078,1078,no,GDL,yes,PDX,3298.393
1079,1079,no,TPE,yes,PDX,9862.602
