
ZIP                                                         , NUMB                        
"29466"                                                     ,    1                        
"29527"                                                     ,    1                        
"29617"                                                     ,    1                        
"29672"                                                     ,    2                        
"29926"                                                     ,    1                        
"30030"                                                     ,    1                        
"30040"                                                     ,    1                        
"30054"                                                     ,    1                        
"30076"                                                     ,    1                        
"30306"                                                     ,    2                        
"30312"                                                     ,    1                        
"30318"                                                     ,    1                        
"30319"                                                     ,    1                        
"30324"                                                     ,    2                        
"30338"                                                     ,    2                        
"31419"                                                     ,    1                        
"31905"                                                     ,    1                        
"32207"                                                     ,    1                        
"32459"                                                     ,    1                        
"32514"                                                     ,    1                        
"32603"                                                     ,    1                        
"32952"                                                     ,    1                        
"33029"                                                     ,    1                        
"33156"                                                     ,    1                        
"33186"                                                     ,    1                        
"33304"                                                     ,    1                        
"33428"                                                     ,    1                        
"33432"                                                     ,    1                        
"33703"                                                     ,    1                        
"34243"                                                     ,    1                        
"34429"                                                     ,    1                        
"34677"                                                     ,    1                        
"35000"                                                     ,    1                        
"35203"                                                     ,    1                        
"35222"                                                     ,    1                        
"35242"                                                     ,    1                        
"36830"                                                     ,    1                        
"37042"                                                     ,    1                        
"37086"                                                     ,    1                        
"37128"                                                     ,    1                        
"37212"                                                     ,    1                        
"37221"                                                     ,    1                        
"37405"                                                     ,    1                        
"37917"                                                     ,    1                        
"38104"                                                     ,    1                        
"38112"                                                     ,    1                        
"38139"                                                     ,    1                        
"38572"                                                     ,    1                        
"38804"                                                     ,    1                        
"40059"                                                     ,    1                        
"40214"                                                     ,    1                        
"40223"                                                     ,    1                        
"43055"                                                     ,    1                        
"43082"                                                     ,    1                        
"43085"                                                     ,    1                        
"43209"                                                     ,    1                        
"43212"                                                     ,    1                        
"43220"                                                     ,    1                        
"43512"                                                     ,    1                        
"44024"                                                     ,    1                        
"44122"                                                     ,    3                        
"44145"                                                     ,    1                        
"45135"                                                     ,    1                        
"45249"                                                     ,    1                        
"45387"                                                     ,    1                        
"46385"                                                     ,    1                        
"48009"                                                     ,    1                        
"48103"                                                     ,    3                        
"48104"                                                     ,    1                        
"48202"                                                     ,    1                        
"48326"                                                     ,    1                        
"48386"                                                     ,    1                        
"48609"                                                     ,    1                        
"48823"                                                     ,    1                        
"48840"                                                     ,    1                        
"49085"                                                     ,    1                        
"49341"                                                     ,    1                        
"49506"                                                     ,    1                        
"49855"                                                     ,    1                        
"52240"                                                     ,    1                        
"52245"                                                     ,    2                        
"53212"                                                     ,    1                        
"53226"                                                     ,    1                        
"53402"                                                     ,    1                        
"53515"                                                     ,    1                        
"53562"                                                     ,    1                        
"53597"                                                     ,    1                        
"53704"                                                     ,    1                        
"53711"                                                     ,    2                        
"53717"                                                     ,    1                        
"53959"                                                     ,    1                        
"54016"                                                     ,    1                        
"54481"                                                     ,    1                        
"54703"                                                     ,    1                        
"55044"                                                     ,    1                        
"55103"                                                     ,    1                        
"55104"                                                     ,    1                        
"55106"                                                     ,    1                        
"55109"                                                     ,    1                        
"55112"                                                     ,    1                        
"55115"                                                     ,    1                        
"55129"                                                     ,    1                        
"55303"                                                     ,    1                        
"55309"                                                     ,    1                        
"55331"                                                     ,    1                        
"55403"                                                     ,    1                        
"55406"                                                     ,    2                        
"55408"                                                     ,    2                        
"55410"                                                     ,    2                        
"55417"                                                     ,    1                        
"55419"                                                     ,    4                        
"55422"                                                     ,    1                        
"55424"                                                     ,    1                        
"55803"                                                     ,    1                        
"55812"                                                     ,    1                        
"55901"                                                     ,    1                        
"55902"                                                     ,    1                        
"55906"                                                     ,    1                        
"56082"                                                     ,    1                        
"56377"                                                     ,    1                        
"57105"                                                     ,    1                        
"57108"                                                     ,    1                        
"59422"                                                     ,    1                        
"59715"                                                     ,    1                        
"59801"                                                     ,    1                        
"59803"                                                     ,    1                        
"60014"                                                     ,    1                        
"60022"                                                     ,    1                        
"60025"                                                     ,    2                        
"60030"                                                     ,    1                        
"60035"                                                     ,    1                        
"60090"                                                     ,    1                        
"60091"                                                     ,    1                        
"60093"                                                     ,    2                        
"60201"                                                     ,    3                        
"60302"                                                     ,    2                        
"60304"                                                     ,    1                        
"60402"                                                     ,    1                        
"60431"                                                     ,    1                        
"60540"                                                     ,    1                        
"60564"                                                     ,    1                        
"60609"                                                     ,    1                        
"60610"                                                     ,    1                        
"60611"                                                     ,    1                        
"60615"                                                     ,    3                        
"60618"                                                     ,    1                        
"60626"                                                     ,    2                        
"60630"                                                     ,    1                        
"60631"                                                     ,    1                        
"60637"                                                     ,    1                        
"60638"                                                     ,    1                        
"60639"                                                     ,    1                        
"60640"                                                     ,    1                        
"60647"                                                     ,    1                        
"60657"                                                     ,    2                        
"60659"                                                     ,    1                        
"60660"                                                     ,    1                        
"61004"                                                     ,    1                        
"61455"                                                     ,    1                        
"61530"                                                     ,    1                        
"61801"                                                     ,    1                        
"62025"                                                     ,    1                        
"62236"                                                     ,    1                        
"63028"                                                     ,    1                        
"63034"                                                     ,    1                        
"63138"                                                     ,    1                        
"63376"                                                     ,    1                        
"64057"                                                     ,    1                        
"64093"                                                     ,    1                        
"64113"                                                     ,    1                        
"64114"                                                     ,    1                        
"65203"                                                     ,    3                        
"66030"                                                     ,    1                        
"66049"                                                     ,    1                        
"66062"                                                     ,    1                        
"66205"                                                     ,    1                        
"66208"                                                     ,    1                        
"66503"                                                     ,    1                        
"67218"                                                     ,    1                        
"68502"                                                     ,    1                        
"68510"                                                     ,    1                        
"70115"                                                     ,    1                        
"70117"                                                     ,    1                        
"70119"                                                     ,    2                        
"70460"                                                     ,    1                        
"70503"                                                     ,    1                        
"72205"                                                     ,    2                        
"72703"                                                     ,    1                        
"72712"                                                     ,    1                        
"73069"                                                     ,    1                        
"73107"                                                     ,    1                        
"73112"                                                     ,    1                        
"73114"                                                     ,    1                        
"74105"                                                     ,    1                        
"74133"                                                     ,    1                        
"74136"                                                     ,    1                        
"75002"                                                     ,    1                        
"75009"                                                     ,    1                        
"75052"                                                     ,    1                        
"75060"                                                     ,    1                        
"75070"                                                     ,    1                        
"75080"                                                     ,    1                        
"75093"                                                     ,    1                        
"75218"                                                     ,    2                        
"75225"                                                     ,    2                        
"75229"                                                     ,    1                        
"76092"                                                     ,    1                        
"76107"                                                     ,    1                        
"76117"                                                     ,    1                        
"76133"                                                     ,    1                        
"77005"                                                     ,    1                        
"77017"                                                     ,    1                        
"77021"                                                     ,    1                        
"77024"                                                     ,    1                        
"77025"                                                     ,    1                        
"77055"                                                     ,    1                        
"77059"                                                     ,    1                        
"77061"                                                     ,    1                        
"77077"                                                     ,    1                        
"77081"                                                     ,    1                        
"77098"                                                     ,    2                        
"77302"                                                     ,    1                        
"77379"                                                     ,    1                        
"77406"                                                     ,    1                        
"77479"                                                     ,    1                        
"78015"                                                     ,    1                        
"78209"                                                     ,    1                        
"78660"                                                     ,    1                        
"78664"                                                     ,    1                        
"78703"                                                     ,    1                        
"78704"                                                     ,    2                        
"78731"                                                     ,    1                        
"78738"                                                     ,    1                        
"78745"                                                     ,    1                        
"78746"                                                     ,    2                        
"78748"                                                     ,    1                        
"78751"                                                     ,    1                        
"78756"                                                     ,    1                        
"78759"                                                     ,    2                        
"79007"                                                     ,    1                        
"79382"                                                     ,    1                        
"79912"                                                     ,    1                        
"79932"                                                     ,    1                        
"80013"                                                     ,    1                        
"80016"                                                     ,    1                        
"80027"                                                     ,    2                        
"80033"                                                     ,    1                        
"80108"                                                     ,    1                        
"80111"                                                     ,    1                        
"80112"                                                     ,    1                        
"80120"                                                     ,    1                        
"80121"                                                     ,    1                        
"80122"                                                     ,    1                        
"80127"                                                     ,    1                        
"80129"                                                     ,    1                        
"80138"                                                     ,    1                        
"80206"                                                     ,    1                        
"80209"                                                     ,    1                        
"80210"                                                     ,    2                        
"80212"                                                     ,    1                        
"80220"                                                     ,    2                        
"80229"                                                     ,    1                        
"80238"                                                     ,    2                        
"80239"                                                     ,    1                        
"80246"                                                     ,    1                        
"80301"                                                     ,    1                        
"80302"                                                     ,    1                        
"80303"                                                     ,    1                        
"80304"                                                     ,    2                        
"80305"                                                     ,    2                        
"80403"                                                     ,    1                        
"80443"                                                     ,    1                        
"80466"                                                     ,    1                        
"80503"                                                     ,    1                        
"80521"                                                     ,    1                        
"80524"                                                     ,    1                        
"80525"                                                     ,    2                        
"80540"                                                     ,    1                        
"80809"                                                     ,    1                        
"80905"                                                     ,    1                        
"80908"                                                     ,    1                        
"80909"                                                     ,    1                        
"80911"                                                     ,    1                        
"81120"                                                     ,    1                        
"81211"                                                     ,    1                        
"81419"                                                     ,    1                        
"81623"                                                     ,    1                        
"82001"                                                     ,    2                        
"82070"                                                     ,    1                        
"82501"                                                     ,    1                        
"83333"                                                     ,    1                        
"83642"                                                     ,    1                        
"83703"                                                     ,    1                        
"83709"                                                     ,    1                        
"83843"                                                     ,    1                        
"84017"                                                     ,    1                        
"84098"                                                     ,    1                        
"84102"                                                     ,    1                        
"84105"                                                     ,    2                        
"84109"                                                     ,    1                        
"84121"                                                     ,    1                        
"84124"                                                     ,    1                        
"85006"                                                     ,    1                        
"85008"                                                     ,    1                        
"85009"                                                     ,    1                        
"85013"                                                     ,    1                        
"85014"                                                     ,    1                        
"85016"                                                     ,    2                        
"85037"                                                     ,    1                        
"85041"                                                     ,    1                        
"85050"                                                     ,    1                        
"85086"                                                     ,    1                        
"85202"                                                     ,    1                        
"85253"                                                     ,    1                        
"85281"                                                     ,    1                        
"85283"                                                     ,    1                        
"85331"                                                     ,    1                        
"85718"                                                     ,    2                        
"85719"                                                     ,    1                        
"86001"                                                     ,    1                        
"86303"                                                     ,    1                        
"87008"                                                     ,    1                        
